Date,Close
9/24/2015,36.06
9/25/2015,36.05
9/28/2015,35.44
9/29/2015,35.51
9/30/2015,36.12
10/1/2015,36.24
10/2/2015,36.89
10/5/2015,37.59
10/6/2015,37.73
10/7/2015,37.66
10/8/2015,37.89
10/9/2015,38.1
10/12/2015,38.04
10/13/2015,37.82
10/14/2015,37.26
10/15/2015,37.55
10/16/2015,37.37
10/19/2015,36.87
10/20/2015,36.86
10/21/2015,36.62
10/22/2015,37.79
10/23/2015,38.07
10/26/2015,38.37
10/27/2015,38.34
10/28/2015,38.88
10/29/2015,38.86
10/30/2015,38.84
11/2/2015,39.75
11/3/2015,40.2
11/4/2015,40.48
11/5/2015,40.35
11/6/2015,40.62
11/9/2015,40.1
11/10/2015,39.92
11/11/2015,39.04
11/12/2015,38.63
11/13/2015,37.3
11/16/2015,38.12
11/17/2015,38.13
11/18/2015,38.7
11/19/2015,39.02
11/20/2015,39.34
11/23/2015,39.14
11/24/2015,39.46
11/25/2015,39.26
11/27/2015,39.18
11/30/2015,38.97
12/1/2015,39.23
12/2/2015,38.7
12/3/2015,37.81
12/4/2015,39.16
12/7/2015,38.82
12/8/2015,38.73
12/9/2015,38.58
12/10/2015,38.19
12/11/2015,37.21
12/14/2015,37.65
12/15/2015,38.21
12/16/2015,38.91
12/17/2015,36.93
12/18/2015,36.35
12/21/2015,36.42
12/22/2015,36.59
12/23/2015,36.93
12/24/2015,37.01
12/28/2015,36.79
12/29/2015,37.04
12/30/2015,36.92
12/31/2015,36.53
1/4/2016,35.75
1/5/2016,35.64
1/6/2016,35.82
1/7/2016,35.04
1/8/2016,34.65
1/11/2016,34.94
1/12/2016,35.37
1/13/2016,34.08
1/14/2016,34.79
1/15/2016,34.12
1/19/2016,34.55
1/20/2016,33.94
1/21/2016,34.12
1/22/2016,34.8
1/25/2016,34.34
1/26/2016,35.23
1/27/2016,34.91
1/28/2016,35.33
1/29/2016,36.31
2/1/2016,36.32
2/2/2016,35.35
2/3/2016,35.69
2/4/2016,36.45
2/5/2016,35.7
2/8/2016,35.61
2/9/2016,35.08
2/10/2016,35.2
2/11/2016,34.84
2/12/2016,35.54
2/16/2016,35.7
2/17/2016,36.63
2/18/2016,36.63
2/19/2016,36.78
2/22/2016,37.11
2/23/2016,36.55
2/24/2016,36.63
2/25/2016,37.29
2/26/2016,36.96
2/29/2016,36.78
3/1/2016,37.99
3/2/2016,37.76
3/3/2016,37.89
3/4/2016,37.89
3/7/2016,38.36
3/8/2016,38.15
3/9/2016,38.48
3/10/2016,38.05
3/11/2016,38.95
3/14/2016,38.7
3/15/2016,38.74
3/16/2016,40.22
3/17/2016,40.61
3/18/2016,41.48
3/21/2016,41.61
3/22/2016,41.38
3/23/2016,40.75
3/24/2016,40.97
3/28/2016,40.62
3/29/2016,40.7
3/30/2016,40.97
3/31/2016,40.91
